"","Common name","Scientific name","Order","Family"
"147","Northern Bobwhite","Colinus virginianus","Galliformes","Odontophoridae (New World Quail)"
"148","Northern Hawk Owl","Surnia ulula","Strigiformes","Strigidae (Owls)"
"149","Northern Saw-whet Owl","Aegolius acadicus","Strigiformes","Strigidae (Owls)"
"150","Orange-crowned Warbler","Leiothlypis celata","Passeriformes","Parulidae (New World Warblers)"
"151","Palm Warbler","Setophaga palmarum","Passeriformes","Parulidae (New World Warblers)"
"152","Red-shouldered Hawk","Buteo lineatus","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)"
"153","Redhead","Aythya americana","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)"
"154","Ring-necked Duck","Aythya collaris","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)"
"155","Sanderling","Calidris alba","Charadriiformes","Scolopacidae (Sandpipers and Allies)"
"156","Short-eared Owl","Asio flammeus","Strigiformes","Strigidae (Owls)"
"157","Snow Goose","Anser caerulescens","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)"
"158","Townsend's Solitaire","Myadestes townsendi","Passeriformes","Turdidae (Thrushes and Allies)"
"159","Varied Thrush","Ixoreus naevius","Passeriformes","Turdidae (Thrushes and Allies)"
"160","Vesper Sparrow","Pooecetes gramineus","Passeriformes","Passerellidae (New World Sparrows)"
"161","Yellow-bellied Sapsucker","Sphyrapicus varius","Piciformes","Picidae (Woodpeckers)"
"162","Yellow-breasted Chat","Icteria virens","Passeriformes","Icteriidae (Yellow-breasted Chat)"
