"Common name","Scientific name","Order","Family","Resident status"
"Northern Gannet","Morus bassanus","Suliformes","Sulidae (Boobies and Gannets)","Non-resident"
"Northern Goshawk","Accipiter gentilis","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Resident"
"Northern Harrier","Circus hudsonius","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Resident"
"Northern Hawk Owl","Surnia ulula","Strigiformes","Strigidae (Owls)","Non-resident"
"Northern Mockingbird","Mimus polyglottos","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Resident"
"Northern Pintail","Anas acuta","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Northern Saw-whet Owl","Aegolius acadicus","Strigiformes","Strigidae (Owls)","Non-resident"
"Northern Shrike","Lanius borealis","Passeriformes","Laniidae (Shrikes)","Non-resident"
"Orange-crowned Warbler","Leiothlypis celata","Passeriformes","Parulidae (New World Warblers)","Non-resident"
"Pacific Loon","Gavia pacifica","Gaviiformes","Gaviidae (Loons)","Non-resident"
"Palm Warbler","Setophaga palmarum","Passeriformes","Parulidae (New World Warblers)","Non-resident"
"Peregrine Falcon","Falco peregrinus","Falconiformes","Falconidae (Falcons and Caracaras)","Resident"
"Pied-billed Grebe","Podilymbus podiceps","Podicipediformes","Podicipedidae (Grebes)","Non-resident"
"Pileated Woodpecker","Dryocopus pileatus","Piciformes","Picidae (Woodpeckers)","Resident"
"Pine Grosbeak","Pinicola enucleator","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Non-resident"
"Pine Siskin","Spinus pinus","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Resident"
"Pine Warbler","Setophaga pinus","Passeriformes","Parulidae (New World Warblers)","Non-resident"
"Purple Finch","Haemorhous purpureus","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Resident"
"Purple Sandpiper","Calidris maritima","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Non-resident"
"Razorbill","Alca torda","Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Non-resident"
"Red Crossbill","Loxia curvirostra","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Resident"
"Red-bellied Woodpecker","Melanerpes carolinus","Piciformes","Picidae (Woodpeckers)","Non-resident"
"Red-breasted Merganser","Mergus serrator","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Red-breasted Nuthatch","Sitta canadensis","Passeriformes","Sittidae (Nuthatches)","Resident"
"Red-headed Woodpecker","Melanerpes erythrocephalus","Piciformes","Picidae (Woodpeckers)","Non-resident"
"Red-necked Grebe","Podiceps grisegena","Podicipediformes","Podicipedidae (Grebes)","Non-resident"
"Red-shouldered Hawk","Buteo lineatus","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Non-resident"
"Red-tailed Hawk","Buteo jamaicensis","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Resident"
"Red-throated Loon","Gavia stellata","Gaviiformes","Gaviidae (Loons)","Non-resident"
"Red-winged Blackbird","Agelaius phoeniceus","Passeriformes","Icteridae (Troupials and Allies)","Resident"
"Redhead","Aythya americana","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Ring-billed Gull","Larus delawarensis","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Non-resident"
"Ring-necked Duck","Aythya collaris","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Ring-necked Pheasant","Phasianus colchicus","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Non-resident"
"Rock Pigeon","Columba livia","Columbiformes","Columbidae (Pigeons and Doves)","Resident"
"Rough-legged Hawk","Buteo lagopus","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Non-resident"
"Ruby-crowned Kinglet","Corthylio calendula","Passeriformes","Regulidae (Kinglets)","Non-resident"
"Ruddy Duck","Oxyura jamaicensis","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Ruffed Grouse","Bonasa umbellus","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Resident"
"Rusty Blackbird","Euphagus carolinus","Passeriformes","Icteridae (Troupials and Allies)","Non-resident"
"Sanderling","Calidris alba","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Non-resident"
"Sharp-shinned Hawk","Accipiter striatus","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Resident"
"Short-eared Owl","Asio flammeus","Strigiformes","Strigidae (Owls)","Non-resident"
"Snow Bunting","Plectrophenax nivalis","Passeriformes","Calcariidae (Longspurs and Snow Buntings)","Non-resident"
"Snow Goose","Anser caerulescens","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Snowy Owl","Bubo scandiacus","Strigiformes","Strigidae (Owls)","Non-resident"
"Song Sparrow","Melospiza melodia","Passeriformes","Passerellidae (New World Sparrows)","Resident"
"Spruce Grouse","Canachites canadensis","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Resident"
"Surf Scoter","Melanitta perspicillata","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Swamp Sparrow","Melospiza georgiana","Passeriformes","Passerellidae (New World Sparrows)","Non-resident"
