"species","count.est","count.p","cph.est","cph.p","change"
"White-breasted Nuthatch",0.129,0.366,0.228,0.107,"no change"
"White-throated Sparrow",-0.186,0.19,-0.057,0.692,"no change"
"White-winged Crossbill",0.019,0.893,0.061,0.671,"no change"
"Wilson's Snipe",-0.273,0.058,-0.274,0.057,"no change"
"Winter Wren",-0.23,0.108,-0.225,0.116,"no change"
"Yellow-rumped Warbler",0.028,0.845,0.041,0.775,"no change"
"American Pipit",NA,NA,NA,NA,"not enough data"
"American Three-toed Woodpecker",NA,NA,NA,NA,"not enough data"
"Atlantic Puffin",NA,NA,NA,NA,"not enough data"
"Black-and-white Warbler",NA,NA,NA,NA,"not enough data"
"Black-bellied Plover",NA,NA,NA,NA,"not enough data"
"Black-throated Sparrow",NA,NA,NA,NA,"not enough data"
"Brant",NA,NA,NA,NA,"not enough data"
"Broad-winged Hawk",NA,NA,NA,NA,"not enough data"
"Carolina Wren",NA,NA,NA,NA,"not enough data"
"Common Yellowthroat",NA,NA,NA,NA,"not enough data"
"Dunlin",NA,NA,NA,NA,"not enough data"
"Eastern Bluebird",NA,NA,NA,NA,"not enough data"
"Eastern Meadowlark",NA,NA,NA,NA,"not enough data"
"Eastern Phoebe",NA,NA,NA,NA,"not enough data"
"Eurasian Wigeon",NA,NA,NA,NA,"not enough data"
"Gadwall",NA,NA,NA,NA,"not enough data"
"Green-tailed Towhee",NA,NA,NA,NA,"not enough data"
"Lapland Longspur",NA,NA,NA,NA,"not enough data"
"Lesser Black-backed Gull",NA,NA,NA,NA,"not enough data"
"Merlin",NA,NA,NA,NA,"not enough data"
"Northern Bobwhite",NA,NA,NA,NA,"not enough data"
"Northern Hawk Owl",NA,NA,NA,NA,"not enough data"
"Northern Saw-whet Owl",NA,NA,NA,NA,"not enough data"
"Orange-crowned Warbler",NA,NA,NA,NA,"not enough data"
"Palm Warbler",NA,NA,NA,NA,"not enough data"
"Red-shouldered Hawk",NA,NA,NA,NA,"not enough data"
"Redhead",NA,NA,NA,NA,"not enough data"
"Ring-necked duck",NA,NA,NA,NA,"not enough data"
"Sanderling",NA,NA,NA,NA,"not enough data"
"Short-eared Owl",NA,NA,NA,NA,"not enough data"
"Snow Goose",NA,NA,NA,NA,"not enough data"
"Townsend's Solitaire",NA,NA,NA,NA,"not enough data"
"Varied Thrush",NA,NA,NA,NA,"not enough data"
"Vesper Sparrow",NA,NA,NA,NA,"not enough data"
"Yellow-bellied Sapsucker",NA,NA,NA,NA,"not enough data"
"Yellow-breasted Chat",NA,NA,NA,NA,"not enough data"
